activity_date_utc,commits,changed_file_occurrences,commits_with_unknown_changed_files,last_observed_at
2026-09-17,33,142,0,2026-09-22T20:28:31Z
2026-09-18,3,5,0,2026-09-22T20:28:31Z
2026-09-20,41,287,0,2026-09-22T20:28:31Z
2026-09-21,6,60,0,2026-09-22T20:28:31Z
