data_date_utc,observed_at,repository_id,name,full_name,description,visibility,archived,fork,created_at,updated_at,pushed_at,size_kb,files,files_status,commits,stars,forks,subscribers
2026-09-22,2026-09-23T06:57:33Z,1375017353,tabularium,ForestTiger-GH/tabularium,Machine-readable public financial and statistical disclosures,public,false,false,2026-09-17T19:57:55Z,2026-09-22T22:28:52Z,2026-09-22T22:28:48Z,47098,385,exact,92,0,0,0
2026-09-23,2026-09-24T06:55:48Z,1375017353,tabularium,ForestTiger-GH/tabularium,Machine-readable public financial and statistical disclosures,public,false,false,2026-09-17T19:57:55Z,2026-09-23T18:47:38Z,2026-09-23T18:47:34Z,50939,436,exact,106,0,0,0
2026-09-24,2026-09-25T06:50:11Z,1375017353,tabularium,ForestTiger-GH/tabularium,Machine-readable public financial and statistical disclosures,public,false,false,2026-09-17T19:57:55Z,2026-09-23T18:47:38Z,2026-09-23T18:47:34Z,50939,436,exact,106,0,0,0
