data_date_utc,observed_at,language,bytes
2026-09-22,2026-09-23T06:57:33Z,HTML,47888396
2026-09-23,2026-09-24T06:55:48Z,HTML,47888396
2026-09-24,2026-09-25T06:50:11Z,HTML,47888396
