data_date_utc,observed_at,referrer,count,uniques
2026-09-23,2026-09-24T06:55:48Z,github.com,15,1
2026-09-24,2026-09-25T06:50:11Z,Bing,1,1
2026-09-24,2026-09-25T06:50:11Z,github.com,19,1
