data_date_utc,observed_at,repository_id,name,full_name,description,visibility,archived,fork,created_at,updated_at,pushed_at,size_kb,files,files_status,commits,stars,forks,subscribers
2026-09-22,2026-09-23T06:57:33Z,1368735394,mandat-analytics,ForestTiger-GH/mandat-analytics,Cognitive logic for analytic work,private,false,false,2026-09-13T18:29:55Z,2026-09-22T20:01:16Z,2026-09-22T18:35:46Z,1160,278,exact,188,0,0,0
2026-09-23,2026-09-24T06:55:48Z,1368735394,mandat-analytics,ForestTiger-GH/mandat-analytics,Cognitive logic for analytic work,private,false,false,2026-09-13T18:29:55Z,2026-09-24T00:24:29Z,2026-09-24T00:24:25Z,1485,292,exact,195,0,0,0
2026-09-24,2026-09-25T06:50:11Z,1368735394,mandat-analytics,ForestTiger-GH/mandat-analytics,Cognitive logic for analytic work,private,false,false,2026-09-13T18:29:55Z,2026-09-24T00:24:29Z,2026-09-24T00:24:25Z,1485,292,exact,195,0,0,0
