data_date_utc,observed_at,repository_id,name,full_name,description,visibility,archived,fork,created_at,updated_at,pushed_at,size_kb,files,files_status,commits,stars,forks,subscribers
2026-09-22,2026-09-23T06:57:33Z,344921764,COTRA,ForestTiger-GH/COTRA,CFTC Commitments of Traders Reports Analysis,public,false,false,2021-03-05T20:05:54Z,2026-09-22T20:18:11Z,2022-06-12T03:07:44Z,5413,107,exact,123,0,1,1
2026-09-23,2026-09-24T06:55:48Z,344921764,COTRA,ForestTiger-GH/COTRA,CFTC Commitments of Traders Reports Analysis,public,false,false,2021-03-05T20:05:54Z,2026-09-22T20:18:11Z,2022-06-12T03:07:44Z,5413,107,exact,123,0,1,1
2026-09-24,2026-09-25T06:50:11Z,344921764,COTRA,ForestTiger-GH/COTRA,CFTC Commitments of Traders Reports Analysis,public,false,false,2021-03-05T20:05:54Z,2026-09-22T20:18:11Z,2022-06-12T03:07:44Z,5413,107,exact,123,0,1,1
2026-09-25,2026-09-26T06:50:11Z,344921764,COTRA,ForestTiger-GH/COTRA,CFTC Commitments of Traders Reports Analysis,public,false,false,2021-03-05T20:05:54Z,2026-09-22T20:18:11Z,2022-06-12T03:07:44Z,5413,107,exact,123,0,1,1
