activity_date_utc,commits,changed_file_occurrences,commits_with_unknown_changed_files,last_observed_at
2026-09-22,4,11,0,2026-09-26T06:50:11Z
2026-09-23,4,10,0,2026-09-26T06:50:11Z
2026-09-24,1,1,0,2026-09-26T06:50:11Z
