data_date_utc,observed_at,repository_id,name,full_name,description,visibility,archived,fork,created_at,updated_at,pushed_at,size_kb,files,files_status,commits,stars,forks,subscribers
2026-09-22,2026-09-23T06:57:33Z,1365000063,madaraii-pilot-2,ForestTiger-GH/madaraii-pilot-2,Pilot testing of an AI-agent operating according to MADARAII engineering cyclic work,public,false,false,2026-09-10T22:23:01Z,2026-09-22T20:16:13Z,2026-09-22T18:17:41Z,1724,163,exact,203,0,0,0
2026-09-23,2026-09-24T06:55:48Z,1365000063,madaraii-pilot-2,ForestTiger-GH/madaraii-pilot-2,Pilot testing of an AI-agent operating according to MADARAII engineering cyclic work,public,false,false,2026-09-10T22:23:01Z,2026-09-22T20:16:13Z,2026-09-22T18:17:41Z,1724,163,exact,203,0,0,0
2026-09-24,2026-09-25T06:50:11Z,1365000063,madaraii-pilot-2,ForestTiger-GH/madaraii-pilot-2,Pilot testing of an AI-agent operating according to MADARAII engineering cyclic work,public,false,false,2026-09-10T22:23:01Z,2026-09-22T20:16:13Z,2026-09-22T18:17:41Z,1724,163,exact,203,0,0,0
2026-09-25,2026-09-26T06:50:11Z,1365000063,madaraii-pilot-2,ForestTiger-GH/madaraii-pilot-2,Pilot testing of an AI-agent operating according to MADARAII engineering cyclic work,public,false,false,2026-09-10T22:23:01Z,2026-09-22T20:16:13Z,2026-09-22T18:17:41Z,1724,163,exact,203,0,0,0
