data_date_utc,observed_at,repository_id,name,full_name,description,visibility,archived,fork,created_at,updated_at,pushed_at,size_kb,files,files_status,commits,stars,forks,subscribers
2026-09-22,2026-09-23T06:57:33Z,1169689333,Lepilot,ForestTiger-GH/Lepilot,"Automated Capital Management System via AppDock based on Compass-engine, LIN-Core-data and bank&broker services ",private,false,false,2026-03-01T03:51:40Z,2026-09-22T20:09:48Z,2026-03-21T23:13:05Z,3897,9,exact,4,0,0,0
2026-09-23,2026-09-24T06:55:48Z,1169689333,Lepilot,ForestTiger-GH/Lepilot,"Automated Capital Management System via AppDock based on Compass-engine, LIN-Core-data and bank&broker services ",private,false,false,2026-03-01T03:51:40Z,2026-09-22T20:09:48Z,2026-03-21T23:13:05Z,3897,9,exact,4,0,0,0
2026-09-24,2026-09-25T06:50:11Z,1169689333,Lepilot,ForestTiger-GH/Lepilot,"Automated Capital Management System via AppDock based on Compass-engine, LIN-Core-data and bank&broker services ",private,false,false,2026-03-01T03:51:40Z,2026-09-22T20:09:48Z,2026-03-21T23:13:05Z,3897,9,exact,4,0,0,0
2026-09-25,2026-09-26T06:50:11Z,1169689333,Lepilot,ForestTiger-GH/Lepilot,"Automated Capital Management System via AppDock based on Compass-engine, LIN-Core-data and bank&broker services ",private,false,false,2026-03-01T03:51:40Z,2026-09-22T20:09:48Z,2026-03-21T23:13:05Z,3897,9,exact,4,0,0,0
