activity_date_utc,commits,changed_file_occurrences,commits_with_unknown_changed_files,last_observed_at
2026-03-01,1,1,0,2026-09-25T06:50:11Z
2026-03-03,1,7,0,2026-09-25T06:50:11Z
2026-03-21,2,1787,0,2026-09-25T06:50:11Z
