activity_date_utc,commits,changed_file_occurrences,commits_with_unknown_changed_files,last_observed_at
2026-02-28,5,21,0,2026-09-26T06:50:11Z
2026-03-01,14,88,0,2026-09-26T06:50:11Z
2026-03-03,1,6,0,2026-09-26T06:50:11Z
2026-03-05,3,10,0,2026-09-26T06:50:11Z
