traffic_date_utc,count,uniques,last_observed_at
2026-09-08,0,0,2026-09-22T20:28:31Z
2026-09-09,0,0,2026-09-22T20:28:31Z
2026-09-10,332,89,2026-09-22T20:28:31Z
2026-09-11,80,37,2026-09-22T20:28:31Z
2026-09-12,80,40,2026-09-22T20:28:31Z
2026-09-13,57,36,2026-09-22T20:28:31Z
2026-09-14,507,121,2026-09-22T20:28:31Z
2026-09-15,233,60,2026-09-22T20:28:31Z
2026-09-16,377,47,2026-09-22T20:28:31Z
2026-09-17,142,3,2026-09-22T20:28:31Z
2026-09-18,176,2,2026-09-22T20:28:31Z
2026-09-19,93,1,2026-09-22T20:28:31Z
2026-09-20,0,0,2026-09-22T20:28:31Z
2026-09-21,2,1,2026-09-22T20:28:31Z
