activity_date_utc,commits,changed_file_occurrences,commits_with_unknown_changed_files,last_observed_at
2026-09-01,3,34,0,2026-09-22T20:28:31Z
2026-09-04,2,2,0,2026-09-22T20:28:31Z
2026-09-05,4,65,0,2026-09-22T20:28:31Z
2026-09-06,1,36,0,2026-09-22T20:28:31Z
2026-09-10,2,78,0,2026-09-22T20:28:31Z
2026-09-13,1,80,0,2026-09-22T20:28:31Z
2026-09-14,3,121,0,2026-09-22T20:28:31Z
