data_date_utc,observed_at,repository_id,name,full_name,description,visibility,archived,fork,created_at,updated_at,pushed_at,size_kb,files,files_status,commits,stars,forks,subscribers
2026-09-22,2026-09-23T06:57:33Z,1341646865,MADAR,ForestTiger-GH/MADAR,"Meridian Architecture of Design, Assurance & Reliability — engineering method and executable specification",private,false,false,2026-08-21T09:47:43Z,2026-09-22T23:59:45Z,2026-09-22T23:59:55Z,12875,488,exact,484,0,0,0
2026-09-23,2026-09-24T06:55:48Z,1341646865,MADAR,ForestTiger-GH/MADAR,"Meridian Architecture of Design, Assurance & Reliability — engineering method and executable specification",private,false,false,2026-08-21T09:47:43Z,2026-09-23T20:24:17Z,2026-09-23T20:24:13Z,12981,471,exact,492,0,0,0
2026-09-24,2026-09-25T06:50:11Z,1341646865,MADAR,ForestTiger-GH/MADAR,"Meridian Architecture of Design, Assurance & Reliability — engineering method and executable specification",private,false,false,2026-08-21T09:47:43Z,2026-09-23T20:24:17Z,2026-09-23T20:24:13Z,12981,471,exact,492,0,0,0
