data_date_utc,observed_at,language,bytes
2026-09-22,2026-09-23T06:57:33Z,C#,111079
2026-09-22,2026-09-23T06:57:33Z,PowerShell,11878
2026-09-23,2026-09-24T06:55:48Z,C#,111079
2026-09-23,2026-09-24T06:55:48Z,PowerShell,11878
