activity_date_utc,commits,changed_file_occurrences,commits_with_unknown_changed_files,last_observed_at
2026-09-14,59,185,0,2026-09-24T06:55:48Z
2026-09-15,9,26,0,2026-09-24T06:55:48Z
2026-09-16,6,7,0,2026-09-24T06:55:48Z
2026-09-17,1,1,0,2026-09-24T06:55:48Z
2026-09-23,2,2,0,2026-09-24T06:55:48Z
