data_date_utc,observed_at,repository_id,repository_name,metadata_status,languages_status,activity_status,traffic_status
2026-09-22,2026-09-23T06:57:33Z,1381835317,github-observatory,ok,ok,full_canonical_history_closed_days,ok
2026-09-22,2026-09-23T06:57:33Z,1169024420,lincore-dock-private,ok,ok,full_canonical_history_closed_days,ok_aggregate_only_private
2026-09-22,2026-09-23T06:57:33Z,1364938978,madaraii-pilot,ok,ok,full_canonical_history_closed_days,ok
2026-09-22,2026-09-23T06:57:33Z,1365000063,madaraii-pilot-2,ok,ok,full_canonical_history_closed_days,ok
2026-09-22,2026-09-23T06:57:33Z,1365033294,madaraii-pilot-3,ok,ok,full_canonical_history_closed_days,ok
2026-09-22,2026-09-23T06:57:33Z,1374262898,madaraii-pilot-4,ok,ok,full_canonical_history_closed_days,ok
2026-09-22,2026-09-23T06:57:33Z,1368735394,mandat-analytics,ok,ok,full_canonical_history_closed_days,ok_aggregate_only_private
2026-09-22,2026-09-23T06:57:33Z,1382410031,mandat-communication,ok,ok,full_canonical_history_closed_days,ok_aggregate_only_private
2026-09-22,2026-09-23T06:57:33Z,1380517906,mandat-forecast,ok,ok,full_canonical_history_closed_days,ok_aggregate_only_private
2026-09-22,2026-09-23T06:57:33Z,1382422717,newsflow,ok,ok,full_canonical_history_closed_days,ok
2026-09-22,2026-09-23T06:57:33Z,1144531837,stratbox,ok,ok,full_canonical_history_closed_days,ok
2026-09-22,2026-09-23T06:57:33Z,1279514466,stratbox-windows,ok,ok,full_canonical_history_closed_days,ok
2026-09-22,2026-09-23T06:57:33Z,1375017353,tabularium,ok,ok,full_canonical_history_closed_days,ok
