data_date_utc,observed_at,repository_id,name,full_name,description,visibility,archived,fork,created_at,updated_at,pushed_at,size_kb,files,files_status,commits,stars,forks,subscribers
2026-09-22,2026-09-23T06:57:33Z,1144531837,stratbox,ForestTiger-GH/stratbox,Toolbox that standardizes data and file storage access via pluggable providers for business needs,public,false,false,2026-01-28T19:14:02Z,2026-09-22T19:51:22Z,2026-08-19T12:20:05Z,2829,276,exact,170,0,0,0
2026-09-23,2026-09-24T06:55:48Z,1144531837,stratbox,ForestTiger-GH/stratbox,Toolbox that standardizes data and file storage access via pluggable providers for business needs,public,false,false,2026-01-28T19:14:02Z,2026-09-22T19:51:22Z,2026-08-19T12:20:05Z,2829,276,exact,170,0,0,0
2026-09-24,2026-09-25T06:50:11Z,1144531837,stratbox,ForestTiger-GH/stratbox,Toolbox that standardizes data and file storage access via pluggable providers for business needs,public,false,false,2026-01-28T19:14:02Z,2026-09-22T19:51:22Z,2026-08-19T12:20:05Z,2829,276,exact,170,0,0,0
