data_date_utc,observed_at,repository_id,name,full_name,description,visibility,archived,fork,created_at,updated_at,pushed_at,size_kb,files,files_status,commits,stars,forks,subscribers
2026-09-22,2026-09-23T06:57:33Z,1381835317,github-observatory,ForestTiger-GH/github-observatory,Daily monitoring of GitHub repositories,public,false,false,2026-09-22T15:35:16Z,2026-09-22T20:40:07Z,2026-09-22T20:39:16Z,44,84,exact,20,0,0,0
2026-09-23,2026-09-24T06:55:48Z,1381835317,github-observatory,ForestTiger-GH/github-observatory,Daily monitoring of GitHub repositories,public,false,false,2026-09-22T15:35:16Z,2026-09-23T07:01:17Z,2026-09-23T07:01:13Z,67,164,exact,21,0,0,0
2026-09-24,2026-09-25T06:50:11Z,1381835317,github-observatory,ForestTiger-GH/github-observatory,Daily monitoring of GitHub repositories,public,false,false,2026-09-22T15:35:16Z,2026-09-24T11:44:09Z,2026-09-24T11:44:04Z,163,177,exact,27,0,0,0
2026-09-25,2026-09-26T06:50:11Z,1381835317,github-observatory,ForestTiger-GH/github-observatory,Daily monitoring of GitHub repositories,public,false,false,2026-09-22T15:35:16Z,2026-09-25T06:53:49Z,2026-09-25T06:53:44Z,190,177,exact,28,0,0,0
