data_date_utc,observed_at,referrer,count,uniques
2026-09-22,2026-09-23T06:57:33Z,github.com,1,1
2026-09-23,2026-09-24T06:55:48Z,github.com,1,1
2026-09-24,2026-09-25T06:50:11Z,github.com,1,1
