traffic_date_utc,count,uniques,last_observed_at
2026-09-08,0,0,2026-09-23T06:57:33Z
2026-09-09,0,0,2026-09-23T06:57:33Z
2026-09-10,9,1,2026-09-23T06:57:33Z
2026-09-11,0,0,2026-09-23T06:57:33Z
2026-09-12,0,0,2026-09-23T06:57:33Z
2026-09-13,1,1,2026-09-23T06:57:33Z
2026-09-14,0,0,2026-09-23T06:57:33Z
2026-09-15,0,0,2026-09-23T06:57:33Z
2026-09-16,0,0,2026-09-23T06:57:33Z
2026-09-17,0,0,2026-09-23T06:57:33Z
2026-09-18,0,0,2026-09-23T06:57:33Z
2026-09-19,0,0,2026-09-23T06:57:33Z
2026-09-20,0,0,2026-09-23T06:57:33Z
2026-09-21,0,0,2026-09-23T06:57:33Z
